GEOID20,Name,District
42101001906,PHILADELPHIA WARD 19 PRECINCT 06,4
42101001907,PHILADELPHIA WARD 19 PRECINCT 07,4
42101001908,PHILADELPHIA WARD 19 PRECINCT 08,4
42101001909,PHILADELPHIA WARD 19 PRECINCT 09,4
42101001910,PHILADELPHIA WARD 19 PRECINCT 10,4
42101001911,PHILADELPHIA WARD 19 PRECINCT 11,4
42101001912,PHILADELPHIA WARD 19 PRECINCT 12,4
42101001913,PHILADELPHIA WARD 19 PRECINCT 13,4
42101001914,PHILADELPHIA WARD 19 PRECINCT 14,4
42101001915,PHILADELPHIA WARD 19 PRECINCT 15,4
42101001916,PHILADELPHIA WARD 19 PRECINCT 16,4
42101001917,PHILADELPHIA WARD 19 PRECINCT 17,4
42101001918,PHILADELPHIA WARD 19 PRECINCT 18,4
42101001919,PHILADELPHIA WARD 19 PRECINCT 19,4
42101002001,PHILADELPHIA WARD 20 PRECINCT 01,5
42101002002,PHILADELPHIA WARD 20 PRECINCT 02,5
42101002004,PHILADELPHIA WARD 20 PRECINCT 04,5
42101002005,PHILADELPHIA WARD 20 PRECINCT 05,5
42101002006,PHILADELPHIA WARD 20 PRECINCT 06,5
42101002007,PHILADELPHIA WARD 20 PRECINCT 07,5
42101002008,PHILADELPHIA WARD 20 PRECINCT 08,5
42101002009,PHILADELPHIA WARD 20 PRECINCT 09,5
42101002010,PHILADELPHIA WARD 20 PRECINCT 10,5
42101002011,PHILADELPHIA WARD 20 DISTRICT 11,5
42101002023,PHILADELPHIA WARD 20 DISTRICT 03,5
42101002101,PHILADELPHIA WARD 21 PRECINCT 01,2
42101002102,PHILADELPHIA WARD 21 PRECINCT 02,2
